hidden_dims,dropout,lr,batch_size,mae,rmse
[32],0.1,0.005,32,0.06490785628557205,0.07370701473655801
"[512, 256, 128, 64]",0.4,0.005,16,0.06724881380796432,0.07422146039330359
"[256, 128, 64]",0.4,0.005,32,0.06373991072177887,0.07443936711194947
"[512, 256]",0.3,0.01,64,0.062490444630384445,0.07453228265518778
"[256, 128, 64]",0.2,0.005,32,0.06422656029462814,0.07457990363873476
"[512, 256, 128]",0.1,0.005,64,0.058582015335559845,0.07464629864884802
"[1024, 512, 256]",0.4,0.005,64,0.0607161708176136,0.07480676077915256
"[256, 128, 64, 32]",0.3,0.01,64,0.06394442915916443,0.07520430374886133
"[128, 64, 32]",0.2,0.01,64,0.055049583315849304,0.07539813752866202
"[512, 256, 128]",0.4,0.005,16,0.06321490556001663,0.07547519355715464
"[64, 32]",0.4,0.01,32,0.0650935247540474,0.07557310530191844
"[1024, 512, 256]",0.2,0.001,32,0.05871623381972313,0.07559235210454791
"[512, 256]",0.2,0.01,32,0.0635102167725563,0.07642757157769048
"[512, 256, 128]",0.1,0.01,128,0.05637119710445404,0.07661070413134777
"[256, 128, 64, 32]",0.1,0.001,16,0.0585799477994442,0.0770196412984332
"[1024, 512, 256]",0.4,0.01,16,0.06304789334535599,0.07710044309565145
"[256, 128, 64, 32]",0.4,0.005,16,0.05979553237557411,0.07739426583937861
"[1024, 512, 256]",0.4,0.01,128,0.06754768639802933,0.07857516946485313
"[256, 128, 64, 32]",0.4,0.005,32,0.05312519893050194,0.07863924237553048
"[256, 128, 64, 32]",0.3,0.005,64,0.06593971699476242,0.0791131588006281
"[1024, 512, 256]",0.3,0.005,128,0.05658974125981331,0.07920478925858522
"[512, 256]",0.1,0.005,32,0.06786473840475082,0.07930041267696832
"[64, 32]",0.3,0.01,64,0.07258455455303192,0.0794853155928957
"[1024, 512, 256]",0.3,0.005,64,0.060969334095716476,0.07949465635341443
"[64, 32]",0.1,0.01,16,0.07059257477521896,0.0797953555943027
"[256, 128, 64]",0.2,0.005,64,0.062099553644657135,0.08050705428601652
"[512, 256]",0.3,0.005,16,0.06111929565668106,0.08093640302776321
"[512, 256, 128, 64]",0.2,0.001,16,0.06298564374446869,0.081170278304939
"[128, 64, 32]",0.1,0.005,64,0.06345360726118088,0.08132586158604016
"[256, 128, 64]",0.4,0.01,32,0.06751757115125656,0.0813782822063116
"[128, 64]",0.3,0.01,32,0.07003325968980789,0.08143173557433604
"[256, 128, 64, 32]",0.4,0.01,64,0.05800101161003113,0.08155527992738636
"[128, 64, 32]",0.1,0.005,16,0.07384133338928223,0.08167353758333916
"[512, 256]",0.3,0.01,32,0.061590202152729034,0.08195596885019836
"[1024, 512, 256]",0.3,0.01,16,0.072520911693573,0.08206968599122993
"[256, 128, 64]",0.2,0.001,16,0.07278814911842346,0.08211924454129799
"[256, 128, 64, 32]",0.3,0.01,128,0.06193271279335022,0.0822707296573705
"[512, 256]",0.2,0.001,16,0.07179515063762665,0.08267119256813808
"[64, 32]",0.1,0.01,64,0.06852290034294128,0.0827401361224668
"[512, 256, 128]",0.1,0.001,32,0.0684792548418045,0.08293171367604762
"[512, 256]",0.3,0.01,16,0.06987009197473526,0.08322017096582299
"[128, 64, 32]",0.4,0.01,64,0.0724715068936348,0.08337283936493335
