hidden_dims,dropout,lr,batch_size,mae,rmse
"[128, 64]",0.2,0.0001,32,0.525722861289978,0.5476832547787807
"[256, 128, 64]",0.4,0.0001,32,0.5390810966491699,0.5544651284221302
[32],0.3,0.0001,64,0.5277190208435059,0.5574636431672408
"[256, 128, 64, 32]",0.4,0.001,128,0.5456124544143677,0.5613657854437101
"[64, 32]",0.3,0.0001,128,0.5297664403915405,0.5648015672647787
[32],0.3,0.0005,128,0.5252693891525269,0.5666440530313273
"[256, 128, 64, 32]",0.2,0.0001,16,0.5276311635971069,0.5672343547373297
[32],0.1,0.0005,128,0.5459799766540527,0.572936150190649
"[64, 32]",0.1,0.0001,64,0.53825443983078,0.5748046688348143
"[128, 64, 32]",0.1,0.0001,16,0.5644324421882629,0.5780704060113983
"[512, 256, 128, 64]",0.1,0.0001,128,0.5657939910888672,0.5789394827298823
"[128, 64, 32]",0.3,0.0001,128,0.5570960640907288,0.5841266114392085
[32],0.2,0.0005,128,0.5677627325057983,0.5869450362628232
"[512, 256, 128]",0.4,0.0001,64,0.5756819844245911,0.5875742368261346
"[512, 256, 128, 64]",0.2,0.0001,128,0.5683435201644897,0.588858583808157
"[256, 128, 64]",0.2,0.0001,32,0.5745631456375122,0.5906312750427497
"[64, 32]",0.2,0.0005,128,0.5595750212669373,0.5913136841911617
"[256, 128, 64]",0.3,0.0001,64,0.5657781958580017,0.5942237871043317
"[128, 64, 32]",0.3,0.0001,64,0.5767479538917542,0.5967691357584526
"[64, 32]",0.2,0.0001,16,0.5644190311431885,0.5998345117038911
"[256, 128, 64]",0.3,0.0001,128,0.5766104459762573,0.6042608456267636
"[128, 64, 32]",0.4,0.0001,16,0.6053992509841919,0.6188187108276724
"[256, 128, 64]",0.4,0.0001,128,0.6226420998573303,0.6293787158905616
"[128, 64]",0.4,0.0001,128,0.6215771436691284,0.6321001635351635
"[64, 32]",0.4,0.0001,32,0.6263588666915894,0.6386221770102647
"[128, 64, 32]",0.4,0.0005,64,0.6194693446159363,0.6401165828840487
"[256, 128, 64, 32]",0.3,0.0005,128,0.6392211318016052,0.6455717300418495
"[128, 64, 32]",0.1,0.0001,64,0.6254447102546692,0.6476620092929665
"[256, 128, 64, 32]",0.1,0.0001,64,0.6485863924026489,0.6625759315162049
"[64, 32]",0.4,0.0001,64,0.6537914872169495,0.6781029482301618
"[128, 64, 32]",0.4,0.0001,32,0.6671919226646423,0.6782703314242684
"[64, 32]",0.2,0.0001,32,0.6482577919960022,0.6804615524033963
"[512, 256, 128]",0.2,0.0001,128,0.6719681024551392,0.6869727193449359
"[128, 64, 32]",0.3,0.0005,128,0.6799357533454895,0.6897473234392244
"[128, 64]",0.2,0.0001,128,0.6637282967567444,0.6900194775900598
"[256, 128, 64, 32]",0.1,0.0005,128,0.679248571395874,0.6956381303176948
"[256, 128, 64, 32]",0.4,0.0001,64,0.690791666507721,0.6986728860412059
"[128, 64]",0.4,0.0001,64,0.6797656416893005,0.6995197479413526
"[512, 256, 128, 64]",0.4,0.0001,64,0.6952372789382935,0.7028721248697481
"[64, 32]",0.3,0.0001,64,0.682263195514679,0.7092637701677758
"[512, 256, 128, 64]",0.2,0.0005,128,0.69182288646698,0.7100207108176768
"[512, 256, 128, 64]",0.4,0.0001,128,0.7077862024307251,0.7131084370674737
"[256, 128, 64, 32]",0.3,0.0001,64,0.7263516783714294,0.734959957822643
"[64, 32]",0.4,0.0005,64,0.7179844379425049,0.7352601256647733
"[256, 128, 64]",0.2,0.0001,64,0.7219613194465637,0.7373517760340962
"[256, 128, 64, 32]",0.3,0.0001,32,0.7312466502189636,0.7376582428513984
"[512, 256, 128, 64]",0.2,0.0001,64,0.7076590061187744,0.7410280104965976
"[64, 32]",0.4,0.0001,16,0.7353198528289795,0.7430696565314067
"[64, 32]",0.2,0.0001,64,0.7299423813819885,0.7467636775605444
"[512, 256, 128]",0.4,0.0001,128,0.7494656443595886,0.7555300761660757
[32],0.2,0.0001,128,0.7459472417831421,0.7642514110348759
[32],0.3,0.0001,128,0.7305305600166321,0.7694308220253852
"[512, 256, 128, 64]",0.3,0.0001,128,0.7756029963493347,0.783318489691597
"[256, 128, 64]",0.1,0.0001,128,0.7767112255096436,0.7917131903848231
"[64, 32]",0.4,0.0001,128,0.7564133405685425,0.8020290050850475
[32],0.2,0.0001,32,0.7869579195976257,0.8029146015343258
"[256, 128, 64]",0.4,0.0001,64,0.8026577830314636,0.8126789409489206
"[128, 64, 32]",0.1,0.0001,128,0.7915640473365784,0.8138882807540213
"[64, 32]",0.3,0.0005,128,0.8069748878479004,0.819998617519981
"[64, 32]",0.3,0.0001,32,0.8269854784011841,0.8428998832395714
"[256, 128, 64, 32]",0.4,0.0005,128,0.8474021553993225,0.8504734950412445
"[128, 64]",0.3,0.0001,64,0.8365123867988586,0.850721731634912
"[256, 128, 64, 32]",0.2,0.0001,128,0.868184506893158,0.8750597729021605
"[128, 64, 32]",0.4,0.0001,128,0.8936225175857544,0.9055404845318232
"[256, 128, 64, 32]",0.2,0.0001,32,0.9313804507255554,0.9415969655451499
[32],0.4,0.0001,128,0.9179585576057434,0.9572195685255103
"[64, 32]",0.2,0.0001,128,0.9332913160324097,0.960627001708805
"[128, 64, 32]",0.4,0.0001,64,0.9629729986190796,0.9685960155053804
"[256, 128, 64, 32]",0.4,0.0001,128,0.9702824354171753,0.9768425501768433
"[256, 128, 64, 32]",0.3,0.0001,128,0.972152590751648,0.9785281121528898
[32],0.4,0.0001,64,0.9882214665412903,1.00869038515596
"[128, 64, 32]",0.2,0.0001,128,1.0978162288665771,1.1067062837813366
"[128, 64, 32]",0.2,0.0001,64,1.1822774410247803,1.1889141596775294
[32],0.1,0.0001,128,1.3029320240020752,1.357320746078347
