G,AB,H,HR,BB,SO,SB,2B,3B,OPS,OBP,SLG,wOBA,AVG,OBP,SLG,OPS,ISO,BABIP,BB%,K%,BB/K,HR/FB,wOBA,wRC,wRC+,WAR,LD%,GB%,FB%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,EV,LA,Barrel%,HardHit%,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,SwStr%,Zone%,F-Strike%,OPS_target
156,611,172,24,73,73,28,36,5,0.831,0.356,0.475,0.346,0.282,0.356,0.475,0.831,0.193,0.285,0.106,0.106,1.0,0.10300000000000001,0.346,100,122,4.6,0.22399999999999998,0.34700000000000003,0.428,0.511,0.3,0.18899999999999997,0.165,0.517,0.318,90.0,18.0,0.07,0.40299999999999997,0.309,0.703,0.466,0.7490000000000001,0.925,0.855,0.067,0.4,0.534,0.831
155,596,170,19,56,110,19,31,2,0.79,0.35,0.44,0.343,0.285,0.35,0.44,0.79,0.154,0.319,0.084,0.165,0.51,0.11699999999999999,0.343,95,119,4.6,0.16699999999999998,0.504,0.32899999999999996,0.402,0.315,0.28300000000000003,0.161,0.539,0.301,87.6,7.9,0.061,0.34299999999999997,0.28600000000000003,0.603,0.426,0.6859999999999999,0.883,0.809,0.081,0.441,0.608,0.79
150,619,175,9,49,83,43,27,4,0.729,0.346,0.383,0.322,0.283,0.346,0.383,0.729,0.1,0.312,0.071,0.121,0.59,0.049,0.322,86,104,4.6,0.191,0.469,0.341,0.315,0.397,0.28800000000000003,0.19399999999999998,0.5720000000000001,0.23399999999999999,86.6,10.5,0.017,0.33,0.335,0.613,0.45399999999999996,0.807,0.9470000000000001,0.888,0.051,0.428,0.622,0.729
161,622,163,25,92,87,3,28,4,0.804,0.363,0.441,0.351,0.262,0.363,0.441,0.804,0.178,0.27,0.127,0.12,1.06,0.10099999999999999,0.351,108,126,4.5,0.18600000000000003,0.354,0.46,0.426,0.35200000000000004,0.222,0.142,0.523,0.335,88.6,17.6,0.054000000000000006,0.382,0.223,0.633,0.387,0.747,0.941,0.8740000000000001,0.049,0.401,0.606,0.804
130,499,153,26,40,87,20,29,1,0.881,0.356,0.525,0.37,0.307,0.356,0.525,0.881,0.218,0.319,0.07200000000000001,0.156,0.46,0.141,0.37,92,136,4.4,0.20800000000000002,0.358,0.434,0.436,0.373,0.191,0.156,0.552,0.292,87.9,17.2,0.061,0.314,0.353,0.687,0.499,0.72,0.8740000000000001,0.812,0.09300000000000001,0.43799999999999994,0.622,0.881
150,569,157,25,71,109,8,26,9,0.844,0.358,0.485,0.361,0.276,0.358,0.485,0.844,0.209,0.3,0.109,0.168,0.65,0.149,0.361,102,126,4.3,0.19,0.44799999999999995,0.36200000000000004,0.441,0.344,0.215,0.142,0.475,0.38299999999999995,91.1,10.7,0.08,0.428,0.27699999999999997,0.701,0.45399999999999996,0.67,0.89,0.812,0.085,0.418,0.602,0.844
143,492,123,31,58,104,1,24,0,0.84,0.352,0.488,0.362,0.25,0.352,0.488,0.84,0.238,0.257,0.102,0.182,0.56,0.16899999999999998,0.362,90,136,4.3,0.21100000000000002,0.319,0.47,0.545,0.275,0.18,0.172,0.501,0.326,86.9,22.2,0.059000000000000004,0.28300000000000003,0.32,0.6779999999999999,0.457,0.716,0.9129999999999999,0.828,0.079,0.381,0.585,0.84
145,513,119,30,54,158,0,23,1,0.762,0.306,0.456,0.326,0.232,0.306,0.456,0.762,0.224,0.273,0.095,0.278,0.34,0.17300000000000001,0.326,73,113,4.3,0.19899999999999998,0.315,0.486,0.511,0.289,0.19899999999999998,0.205,0.444,0.35100000000000003,89.5,20.3,0.126,0.40700000000000003,0.345,0.725,0.49700000000000005,0.596,0.8059999999999999,0.7190000000000001,0.14,0.401,0.5760000000000001,0.762
152,592,162,24,74,146,3,30,6,0.829,0.363,0.466,0.359,0.274,0.363,0.466,0.829,0.193,0.324,0.109,0.214,0.51,0.136,0.359,106,130,4.2,0.198,0.41,0.392,0.341,0.33899999999999997,0.319,0.14,0.479,0.381,91.8,12.2,0.095,0.47700000000000004,0.24,0.645,0.423,0.648,0.8809999999999999,0.8079999999999999,0.081,0.452,0.626,0.829
155,639,170,26,45,150,30,35,5,0.778,0.32,0.459,0.333,0.266,0.32,0.459,0.778,0.192,0.31,0.065,0.217,0.3,0.135,0.333,93,108,4.2,0.21,0.396,0.39399999999999996,0.396,0.369,0.235,0.147,0.504,0.349,89.9,13.0,0.084,0.42200000000000004,0.38299999999999995,0.7659999999999999,0.531,0.5589999999999999,0.846,0.7190000000000001,0.149,0.387,0.648,0.778
